External_Id__c,SBQQ__Product__r.External_ID__c,Name,SBQQ__Active__c,SBQQ__ConditionsMet__c,SBQQ__ConfiguratorEvaluationEvent__c,SBQQ__EvaluationEvent__c,SBQQ__EvaluationOrder__c,SBQQ__LookupObject__c,SBQQ__TargetObject__c
EX-000031,,Set DCC SEATS Discount Schedule - 5 Free Seats,false,All,,Before Calculate,3,SBQQ__DiscountSchedule__c,Calculator
EX-000032,,Clear End Date on Renewal Quotes,false,All,,Before Calculate,505,,Calculator
EX-000033,,Additional Discount,false,All,,On Calculate,800,,Calculator
EX-000038,,Media Invoice Descriptions,true,All,,After Calculate,1001,,Calculator
EX-000067,,Set UnSegmented line count,true,All,,Before Calculate,1200,,Calculator
EX-20230302.0,,Set Geo NBD  when TBB_Region set/ Geo blank,true,All,Save,On Calculate,410,,Calculator
EX-20230320.2,,Group: Apply Discount Rate - Clear,true,All,Edit,On Initialization;Before Calculate,800,,Calculator
EX-20230320.3,,Clear Geo When TBB_Region is blank,true,All,Save,Before Calculate;On Calculate,400,,Calculator
EX-20230320.30,,Amend Cancelation - Clear Quantities,true,All,,On Calculate,400,,Calculator
EX-20230320.4,,QHeader:CK Clear Uplift on renewals,true,All,,On Calculate,400,,Calculator
EX-20230321.1,,zero all qtys / 100% disc,false,All,,Before Calculate;On Calculate,10,,Calculator
EX-20230327.01,,Clear Subscription Ref,false,All,,On Calculate,,,Calculator
EX-20230328.01,,Group:Zero Amendment  Quantity,true,All,Save,On Calculate,400,,Calculator
EX-20230328.02,,Refresh Prices from PB/Option,true,Custom,Save,On Initialization;Before Calculate,400,,Calculator
EX-20230505.01,,Set Geo Missing Count,false,All,,On Calculate,51,,Calculator
EX-20230505.02,,Has Seats = 0,false,All,,On Calculate,65,,Calculator
EX-20230511.01,,IMS Invoice PDF_Sub - Add,true,All,,After Calculate,1200,,Calculator
EX-20230517.01,,PR ForceUpdate,false,All,Edit,On Initialization;Before Calculate;On Calculate;After Calculate,1000,,Calculator
EX-20230518.01,,Group: Apply Discount Rate - Apply,true,All,Edit,On Calculate,850,,Calculator
EX-20230526.01,,Quote Apply Discount - Set QuoteVal,true,All,Edit,Before Calculate,505,,Calculator
EX-20230526.03,,Quote Apply Discount - Clear Vals,true,All,Edit,Before Calculate,600,,Calculator
EX-20230526.60,,Quote Apply Discount - Set Discount,true,All,Edit,On Calculate;After Calculate,800,,Calculator
EX-20230526.61,,Quote Apply Discount - Bump,true,All,Edit,On Initialization,800,,Calculator
EX-20230605.01,,Geo Set PDF Desc,false,All,,After Calculate,1250,,Calculator
EX-20230605.10,,Quote Apply Discount - Amend drop,true,All,Edit,On Initialization;Before Calculate,820,,Calculator
EX-20230605.20,,Quote Apply Discount - Amend add,true,All,Edit,On Calculate,840,,Calculator
EX-20230615.10,,Amend Cancelation - Trial,true,All,,On Calculate,402,,Calculator
EX-20230619.01,,Clear BB for No Attributes,true,All,Save,Before Calculate;On Calculate,410,,Calculator
EX-20230715.01,,Fix Segment Labels,true,All,,Before Calculate,100,,Calculator
EX-20230721.01,,Trial Set Values,true,All,Edit,On Initialization;On Calculate,400,,Calculator
EX-20230830.01,,SpecAlert On Specshare,true,All,,Before Calculate,300,,Calculator
EX-20230915.1,,Verify BI Seats - TRUE,true,All,,On Calculate,500,,Calculator
EX-20231004.05,,Clear Bundle StartDate,true,All,,Before Calculate,105,,Calculator
EX-20231201.22,,Set Ad Info AD/ADContent,true,All,,After Calculate,100,,Calculator
